Master Date List,Bin 5 Flow Data (gpm),,,Bin 5,,,,,,,,,,,,,,,,,,,Bin 5 Field Data,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,Bin 5 Inflow (Bin 1),Bin 5 Outflow,Date,Bin 5 TDS,Bin 5 Sulfate,Bin 5 Chloride,Bin 5 Arsenic,Bin 5 Selenium,Bin 5 Chromium,Bin 5 Copper,Bin 5 Zinc,Bin 5 Nitrate,Bin 5 Nitrite,Bin 5 Phosphorus,Bin 5 COD,Bin 5 Boron,Bin 5 Color,Bin 5 Thallium,Bin 5 DOC,Bin 5 Nitrate + Nitrite as N,Bin 5 Sulfide,Date,Bin 5 Conductivity S/m,Bin 5 Conductivity µS/cm,Bin 5 DO mg/L,Bin 5 ORP,Bin 5 pH,Bin 5 Temp. Celsius,Bin 5 H2S mg/L
3/7/13,3/7/13,0.05625,0.040625,,,,,,,,,,,,,,,,,,,,3/7/13,,10380,,90,6.63,17.3,
3/13/13,,,,3/13/13,9640,2600,3170,0.02,0.0146,0.015,NA,NA,30,NA,0.1,360,NA,,,,,,,,,,,,,
3/15/13,3/15/13,0.0625,0.05,,,,,,,,,,,,,,,,,,,,3/15/13,,10440,,43,6.58,19.5,
3/22/13,3/22/13,0.0453125,0.028125,,,,,,,,,,,,,,,,,,,,3/22/13,,10540,,120,5.82,21.7,
3/28/13,3/28/13,0.0625,0.0421875,,,,,,,,,,,,,,,,,,,,3/28/13,,10270,,56,6.57,21.4,
4/8/13,4/8/13,0.03125,,,,,,,,,,,,,,,,,,,,,4/8/13,,,,,,,
4/24/13,,,,4/24/13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,
4/25/13,4/25/13,0.0921875,0.040625,,,,,,,,,,,,,,,,,,,,4/25/13,,11500,,-55,6.95,22.2,
5/1/13,5/1/13,0.171875,0.1328125,,,,,,,,,,,,,,,,,,,,5/1/13,,10670,,54,6.51,25.7,
5/10/13,5/10/13,0.15703125,0.1375,5/10/13,NA,2330,3160,0.0105,0.0157,0.015,NA,NA,35,NA,NA,NA,NA,,,,,,5/10/13,,12010,,39,6.49,26,
5/14/13,5/14/13,0.1265625,0.1015625,,,,,,,,,,,,,,,,,,,,5/14/13,,10710,,187,6.47,27.3,
5/22/13,5/22/13,0.103125,0.07421875,,,,,,,,,,,,,,,,,,,,5/22/13,,11860,,70,6.76,27.8,
5/29/13,,,,5/29/13,11000,2810,3720,0.0104,0.0119,0.02,NA,NA,33,NA,0.1,190,NA,,,,,,,,,,,,,
5/31/13,5/31/13,0.2015625,0.096875,,,,,,,,,,,,,,,,,,,,5/31/13,,12570,,194,6.9,28.4,
6/5/13,6/5/13,0.1890625,0.0953125,,,,,,,,,,,,,,,,,,,,6/5/13,,13310,,147,6.48,30.3,
6/14/13,6/14/13,0.109375,0.053125,6/14/13,NA,3180,NA,0.0126,0.0117,NA,NA,NA,34,NA,NA,NA,NA,,,,,,6/14/13,,14070,,168,6.79,31.3,
6/19/13,6/19/13,0.175,0.0875,6/19/13,,,,,,,,,,,,,,,,,,,6/19/13,,14530,,93,6.47,31.2,
